,code,description
5bb3ae25da3c38c71367bcc4,B20,"Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve."
5bb3ae26da3c38c71367bcc5,B21,Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.
5bb3ae26da3c38c71367bcc6,B24,Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.
5bb3ae26da3c38c71367bcc7,B25,Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.
5bb3ae26da3c38c71367bcc8,B28,"Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn."
5bb3ae26da3c38c71367bcc9,B29,"Schools run independently of the traditional public school system but receiving public funding and operating by a charter.  This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success."
5bb3ae27da3c38c71367bcca,B30,"Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment."
5bb3ae27da3c38c71367bccb,B40,"Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. "
5bb3ae27da3c38c71367bccc,B41,"Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate."
5bb3ae27da3c38c71367bccd,B42,Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.
5bb3ae27da3c38c71367bcce,B43,Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.
5bb3ae27da3c38c71367bccf,B50,"Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate."
5bb3ae27da3c38c71367bcd0,B60,"Institutions outside the formal system of regular schools, colleges, universities and technical/trade schools that provide opportunities for adults to develop basic learning and communication skills, complete their high school education, expand their knowledge in a particular field or discipline or develop skills in a new area of interest."
5bb3ae27da3c38c71367bcd1,B70,"Facilities which house a collection of materials including books, manuscripts, journals, government documents and non-print formats such as paintings, musical recordings, videotapes, films and data files which are organized for access by a targeted population."
5bb3ae27da3c38c71367bcd2,B90,"Organizations that provide educational programs within the formal educational system or offered as an adjunct to the traditional school curriculum which help students succeed in school and prepare for life.  Includes organizations that partner parents, families, schools, business and/or community leaders to broker resources for the benefit of local schools."
5bb3ae27da3c38c71367bcd3,B92,"Organizations that provide diagnostic testing and/or individual or group instruction for people who are having reading difficulties. Instruction focuses on phonics, dictionary skills, vocabulary development, spelling and study skills, comprehension and memory skills."
5bb3ae27da3c38c71367bcd4,B94,"Organizations of parents, educators, students, and other citizens who are active in their schools and communities promoting the health, education, and welfare of children."
5bb3ae27da3c38c71367bcd5,B99,Organizations that clearly provide education services where the major purpose is unclear cannot be accurately assigned.
