G41,TO FACILITATE THE ENHANCEMENT AND DEVELOPMENT OF EYE AND VISION CARE WORLDWIDE
G41,TO FACILITATE THE ENHANCEMENT AND DEVELOPMENT OF EYE AND VISION CARE WORLDWIDE
K31,TO PROVIDE PROVISIONS FOR THE NEEDY.
L41,To permanently eliminate homelessness for disabled and chronically homeless men by providing shelter and housing along with services to support transition.
L41,To permanently eliminate homelessness for disabled and chronically homeless men by providing shelter and housing along with services to support transition.
P33Z,PROVIDING DAY CARE TO FOSTER CHILDREN AND LOW INCOME FAMILIES.
P33Z,PROVIDING DAY CARE TO FOSTER CHILDREN AND LOW INCOME FAMILIES.
T113,SEE SCHEDULE O
L22,PROVIDE LOW INCOME HOUSING FOR THE ELDERLY. SEE SCHEDULE O FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS.
L22,PROVIDE LOW INCOME HOUSING FOR THE ELDERLY. SEE SCHEDULE O FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS.
B20,OUR MISSION IS TO PROVIDE AN ACADEMICALLY CHALLENGING AND PERSONALLY SUPPORTIVE ENVIRONMENT IN WHICH A DIVERSE STUDENT BODY GAINS THE KNOWLEDGE AND SKILLS TO BECOME GLOBAL CITIZENS WITH A PASSION FOR LIFE AND LEARNING.
M40,Our mission is to reduce the amount of accidents to children in and around the home. We educate and provide safety materials to families and caregivers to keep kids safe in their homes.
B64J,TO PROVIDE LONG-TERM BENEFITS FOR THE GOALS AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. THIS IS ACCOMPLISHED BY UTILIZING THE INTEREST EARNED FROM THE PRINCIPAL IN THE ENDOWMENT TRUST FOR APPROPRIATE FINANCIAL SUPPORT.
B64J,TO PROVIDE LONG-TERM BENEFITS FOR THE GOALS AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. THIS IS ACCOMPLISHED BY UTILIZING THE INTEREST EARNED FROM THE PRINCIPAL IN THE ENDOWMENT TRUST FOR APPROPRIATE FINANCIAL SUPPORT.
E500,PROVIDE EQUINE ASSISTED THERAPY PROGRAMS FOR INDIVIDUALS WITH DISABILITIES
E500,PROVIDE EQUINE ASSISTED THERAPY PROGRAMS FOR INDIVIDUALS WITH DISABILITIES
B82,Assist Lamar R-1 School District
N30Z,TO FOSTER NATIONAL AND INTERNATIONAL AMATEUR VOLLEYBALL SPORTS COMPETITION.
B112,TO PROMOTE AND HELP PROVIDE EXCELLENCE IN TEACHING IN EACH CLASSROOM OF THE JEFFERSON CITY PUBLIC SCHOOL DISTRICT.
P280,TO PROVIDE HEALTH AND WELFARE SERVICES TO THE ST. LOUIS COMMUNITY
E19,"TO COLLABORATIVELY FACILITATE IMPLEMENTATION OF INNOVATIVE HEALTHCARE MODELS SUPPORTING QUALITY, COST-EFFECTIVENESS, AND HEALTH PROMOTION FOR THE IMPROVEMENT OF THE WELL-BEING OF COMMUNITY HEALTH SYSTEMS."
S41,PROVIDE LEADERSHIP TO IMPROVE DELIVERY OF SERVICES BY ST. LOUIS DESIGN/CONSTRUCTION INDUSTRY
L99Z,"HARAMBEE HOUSE, INC. (THE ORGANIZATION) IS A RESIDENTIAL CARE FACILITY, WITH FIFTEEN SUBSIDIZED UNITS. THE ORGANIZATION'S PROJECT PROVIDES SUPPORTIVE HOUSING FOR PERSONS WITH CHRONIC MENTAL HEALTH DISABILITIES. THE FACILITY IS LOCATED IN COLUMBIA, MISSOURI. THE ORGANIZATION'S PROJECT IS OPERATED UNDER SECTION 811 OF THE NATIONAL AFFORDABLE HOUSING ACT AND REGULATED BY THE U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD) WITH RESPECT TO RENTAL CHARGES AND OPERATING METHODS. THE ORGANIZATION'S PROGRAM IS ITS SECTION 811 HUD MORTGAGE AND THE RELATED PROJECT ASSISTANCE CONTRACT (PAC)."
L99Z,"HARAMBEE HOUSE, INC. (THE ORGANIZATION) IS A RESIDENTIAL CARE FACILITY, WITH FIFTEEN SUBSIDIZED UNITS. THE ORGANIZATION'S PROJECT PROVIDES SUPPORTIVE HOUSING FOR PERSONS WITH CHRONIC MENTAL HEALTH DISABILITIES. THE FACILITY IS LOCATED IN COLUMBIA, MISSOURI. THE ORGANIZATION'S PROJECT IS OPERATED UNDER SECTION 811 OF THE NATIONAL AFFORDABLE HOUSING ACT AND REGULATED BY THE U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD) WITH RESPECT TO RENTAL CHARGES AND OPERATING METHODS. THE ORGANIZATION'S PROGRAM IS ITS SECTION 202/162 HUD MORTGAGE AND THE RELATED PROJECT ASSISTANCE CONTRACT (PAC)."
G84,"ACHIEVEMENTS UNLIMITED EXISTS TO PROVIDE SPECIALIZED SERVICES FOR ADULTS WITH (CONT. ON SCHED O) AUTISM AND RELATED DISORDERS, TO ENCOURAGE INDEPENDENCE, ENHANCE QUALITY OF LIFE, AND BROADEN THE OPPORTUNITY FOR INCREASED PARTICIPATION IN THE GREATER COMMUNITY."
G84,"ACHIEVEMENTS UNLIMITED EXISTS TO PROVIDE SPECIALIZED SERVICES FOR ADULTS WITH (CONT. ON SCHED O) AUTISM AND RELATED DISORDERS, TO ENCOURAGE INDEPENDENCE, ENHANCE QUALITY OF LIFE, AND BROADEN THE OPPORTUNITY FOR INCREASED PARTICIPATION IN THE GREATER COMMUNITY."
S41,"The Missouri Association of Manufacturers (MAM) is an independent, nongovernmental, voluntary organization with a mission to represent and promote manufacturers for the continual improvement of the community, the economy, and the environment. All members must be from a manufacturing entity that operates in the state of Missouri. All MAM activities focus solely on the manufacturing industry."
S41,"The Missouri Association of Manufacturers (MAM) is an independent, nongovernmental, voluntary organization with a mission to represent and promote manufacturers for the continual improvement of the community, the economy, and the environment. All members must be from a manufacturing entity that operates in the state of Missouri. All MAM activities focus solely on the manufacturing industry."
A80,"EDUCATING THE WASHINGTON, MISSOURI COMMUNITY ABOUT ITS HISTORY, PRESERVING AND RESTORING HISTORIC BUILDING, SITES AND NEIGHBORHOODS"
C32,"TO PROMOTE WATER QUALITY IN THE UPPER WHITE RIVER BASIN WATERSHED THOROUGH BI-STATE COLLABORATION ON RESEARCH, PUBLIC POLICY AND ACTION PROJECTS IN ARKANSAS AND MISSOURI"
C32,"TO PROMOTE WATER QUALITY IN THE UPPER WHITE RIVER BASIN WATERSHED THOROUGH BI-STATE COLLABORATION ON RESEARCH, PUBLIC POLICY AND ACTION PROJECTS IN ARKANSAS AND MISSOURI"
E22Z,CRITICAL ACCESS HOSPITAL
E22Z,CRITICAL ACCESS HOSPITAL
P20Z,"THE METROPOLITAN ST LOUIS EQUAL HOUSING AND OPPORTUNITY COUNCIL (EHOC) SEEKS TO ENSURE EQUAL ACCESS TO HOUSING FOR ALL PEOPLE THROUGH EDUCATION, COUNSELING, INVESTIGATION AND ENFORCEMENT."
Z99Z,NEWHOUSE IS A DOMESTIC VIOLENCE SHELTER LOCATED IN KANSAS CITY'S URBAN CORE. THE MISSION OF NEWHOUSE IS TO BREAK THE CYCLE OF DOMESTIC VIOLENCE BY PROVIDING THE TOOLS THAT ALLOW WOMEN TO MAKE POSITIVE CHOICES AND LEAD SELF-SUFFICIENT LIVES.
Z99Z,NEWHOUSE IS A DOMESTIC VIOLENCE SHELTER LOCATED IN KANSAS CITY'S URBAN CORE. THE MISSION OF NEWHOUSE IS TO BREAK THE CYCLE OF DOMESTIC VIOLENCE BY PROVIDING THE TOOLS THAT ALLOW WOMEN TO MAKE POSITIVE CHOICES AND LEAD SELF-SUFFICIENT LIVES.
P30,"THIS CENTER BRINGS VICTIMS OF DOMESTIC VIOLENCE AND SEXUAL ASSAULT TOGETHER TO PROVIDE A SAFE AND NURTURING PLACE TO LEARN AND GROW THROUGH CRISIS AND CASE MANAGEMENT, COURT ADVOCACY, SUPPORT GROUPS AND 24 HOUR CRISIS HOTLINE."
I40,"TO IMPROVE THE SAFETY AND WELL-BEING OF INDIVIDUALS AFFECTED BY CRIME AND THE CRIMINAL JUSTICE SYSTEM, THEIR FAMILIES, AND THEIR COMMUNITIES IN THE GREATER ST. LOUIS AREA THROUGH PERSON TO PERSON ASSISTANCE ROOTED IN JESUS CHRIST'S MESSAGE OF LOVE, RECONCILIATION AND HOPE."
D30,Create a safe and protected environment to connect with the diversity of creation.
A200,TO FOSTER AND PROMOTE FOLK MUSIC AND DANCE
P80,THE ASSOCIATION ON AGING WITH DEVELOPMENTAL DISABILITIES (AADD) SUPPORTS AND SERVES AGING ADULTS WITH DEVELOPMENTAL DISABILITIES TO PROMOTE THEIR DIGNITY AND INDEPENDENCE.
T30,TO HELP PERPETUATE ACCESS TO QUALITY HEALTHCARE FOR THE CITIZENS OF STE GENEVIEVE COUNTY.
T30,TO HELP PERPETUATE ACCESS TO QUALITY HEALTHCARE FOR THE CITIZENS OF STE GENEVIEVE COUNTY.
O50,Boys Grow is a Kansas City based non-profit that uses farming and agriculture to teach entrepreneurism to urban youth.
E220,"Operates an 89-bed community hospital offering a range of services including emergency care, cardiology services, medical imaging, women and child services and diabetes education."
P11,SUPPORTING ORGANIZATION TO MANAGE/INVEST/STEWARD ASSETS FOR SOUTHSIDE EARLY CHILDHOOD CENTER
P43Z,"TO PROVIDE SHELTER, ADVOCACY AND EDUCATION TO SURVIVORS OF DOMESTIC VIOLENCE AND PROMOTE THE PRINCIPLE THAT ALL INDIVIDUALS HAVE THE RIGHT TO A LIFE FREE OF ABUSE."
S20,PROMOTE & SUPPORT EDUCATION OF MISSOURI CITIZENS REGARDING STATE AND LOCAL LEGISLATIVE ACTIVITIES AND ISSUES.
S20,PROMOTE & SUPPORT EDUCATION OF MISSOURI CITIZENS REGARDING STATE AND LOCAL LEGISLATIVE ACTIVITIES AND ISSUES.
A992,PROVIDE ART TO NONPROFITS AND US GOVERNMENT TO RECOGNIZE PATRIOTISM AND VOLUNTEERISM
B80,EDUCATIONAL TUTORING
B80,EDUCATIONAL TUTORING
A12,The Organization most significant activities were providing grants and sponsoring community development workshops
L20Z,"TO CONSTRUCT AFFORDABLE, DECENT HOUSING FOR SALE TO LOW-INCOME FAMILIES AT COST AND TO BUILDCOMMUNITIES BY ENCOURAGING EXISTING HOMEOWNERS TO UPGRADE AND IMPROVE THEIR PROPERTY."
L20Z,"TO CONSTRUCT AFFORDABLE, DECENT HOUSING FOR SALE TO LOW-INCOME FAMILIES AT COST AND TO BUILD COMMUNITIES BY ENCOURAGING EXISTING HOMEOWNERS TO UPGRADE AND IMPROVE THEIR PROPERTY."
S32,JOB CREATION
S32,JOB CREATION
P80Z,REHABILITATION FOR MENTALLY HANDICAPPED
X21M,"To organize, conduct and maintain a ranch for the development of character and to improve the spiritual, mental, vocational, recreational, social and physical condition of boys and girls."
P75,FAITH BASED ORGANIZATION WHICH PROVIDES A NETWORK OF SUPPORTIVE SERVICES FOR OLDER ADULTS. SEE BELOW FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS.
