NTEE_CD,text
G41,2016 REMAINED A TRANSITIONAL YEAR FOR THE FOUNDATION WITH RELOCATING ITS OPERATIONS. TO FACILITATE THE ENHANCEMENT AND DEVELOPMENT OF EYE AND VISION CARE WORLDWIDE
G41,DURING 2017 THE ORGANIZATION FOCUSED ON BOARD DEVELOPMENT AND PLANNING WITH THE ACHIEVEMENT OF SETTING GOALS FOR CARRYING OUT THE MISSION. TO FACILITATE THE ENHANCEMENT AND DEVELOPMENT OF EYE AND VISION CARE WORLDWIDE
K31,TO PROVIDE PROVISIONS FOR THE NEEDY. TO PROVIDE PROVISIONS FOR THE NEEDY.
L41,"Juda house serves chronically homeless disabled men by providing supportive permanent housing in a 16 unit single occupancy apartment setting. Juda House uses the HUD Housing First model. In this design homeless men are provided with the basic needs e.g. housing, food, clothing. As the individual stabilizes additional supportive service are provided. Each person establishes goals and a plan to address the issuess that have causes their chronic homelessness i.e. severe and persistent mental illness and/or additiction and/or chronic physical health conditions. To permanently eliminate homelessness for disabled and chronically homeless men by providing shelter and housing along with services to support transition."
L41,"Juda house serves chronically homeless disabled men by providing supportive permanent housing in a 16 unit single occupancy apartment setting. Juda House uses the HUD Housing First model. In this design homeless men are provided with the basic needs e.g. housing, food, clothing. As the individual stabilizes additional supportive service are provided. Each person establishes goals and a plan to address the issuess that have causes their chronic homelessness i.e. severe and persistent mental illness and/or additiction and/or chronic physical health conditions. To permanently eliminate homelessness for disabled and chronically homeless men by providing shelter and housing along with services to support transition."
P33Z,"PROVIDING DAY CARE IN A LICENSED CENTER FOR CHILDREN BETWEEN THE AGES OF BIRTH TO 8 YEARS FOR WORKING PARENTS. LICENSED FOR 99 CHILDREN, THE CENTER GIVES PRIORITY TO LOW INCOME FAMILIES AND CHILDREN LIVING WITH FOSTER PARENTS. PROVIDING DAY CARE TO FOSTER CHILDREN AND LOW INCOME FAMILIES."
P33Z,"PROVIDING DAY CARE IN A LICENSED CENTER FOR CHILDREN BETWEEN THE AGES OF BIRTH TO 8 YEARS FOR WORKING PARENTS. LICENSED FOR 99 CHILDREN, THE CENTER GIVES PRIORITY TO LOW INCOME FAMILIES AND CHILDREN LIVING WITH FOSTER PARENTS. PROVIDING DAY CARE TO FOSTER CHILDREN AND LOW INCOME FAMILIES."
L22,"TO PROVIDE LOW INCOME HOUSING FOR THE ELDERLY IN 31 UNITS UNDER THE NATIONAL HOUSING ACT REGULATED BY HUD. THE PROJECT'S OCCUPANCY RATE IN 2016 AND 2015 WAS 99.37% AND 99.95%, RESPECTIVELY. PROVIDE LOW INCOME HOUSING FOR THE ELDERLY. SEE SCHEDULE O FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS."
L22,"TO PROVIDE LOW INCOME HOUSING FOR THE ELDERLY IN 31 UNITS UNDER THE NATIONAL HOUSING ACT REGULATED BY HUD. THE PROJECT'S OCCUPANCY RATE IN 2017 AND 2016 WAS 95.99% AND 99.37%, RESPECTIVELY. PROVIDE LOW INCOME HOUSING FOR THE ELDERLY. SEE SCHEDULE O FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS."
B64J,"TO PROVIDE BENEFITS FOR THE GOALS, PURPOSES, AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. TO PROVIDE LONG-TERM BENEFITS FOR THE GOALS AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. THIS IS ACCOMPLISHED BY UTILIZING THE INTEREST EARNED FROM THE PRINCIPAL IN THE ENDOWMENT TRUST FOR APPROPRIATE FINANCIAL SUPPORT."
B64J,"TO PROVIDE BENEFITS FOR THE GOALS, PURPOSES, AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. TO PROVIDE LONG-TERM BENEFITS FOR THE GOALS AND PERPETUATION OF ALPHA PHI OMEGA NATIONAL FRATERNITY. THIS IS ACCOMPLISHED BY UTILIZING THE INTEREST EARNED FROM THE PRINCIPAL IN THE ENDOWMENT TRUST FOR APPROPRIATE FINANCIAL SUPPORT."
E500,HIPPOTHERAPY USES THE HORSE AS THE THERAPY TOOL AND IS DESIGNED FOR INDIVIDUALS WITH DISABILITIES TO INCREASE BALANCE AND CONTROL OF MOVEMENT ON AND OFF THE HORSE. SPECIALLY TRAINED VOLUNTEERS ARE USED AS THE DIRECT LINK BETWEEN THE THERAPIST OR INSTRUCTOR'S GUIDANCE TO A CLIENT AND THE ACHIEVEMENT OF PERSONAL THERAPEUTIC GOALS USING THE MOVEMENT OF THE HORSE. HIPPOTHERAPY SERVED 92 INDIVIDUALS. PROVIDE EQUINE ASSISTED THERAPY PROGRAMS FOR INDIVIDUALS WITH DISABILITIES
E500,"THERAPY: OCCUPATIONAL, PHYSICAL, SPEECH/LANGUAGE: HIPPOTHERAPY LITERALLY MEANS ""TREATMENT WITH THE HELP OF THE HORSE"". THIS TERM REFERS TO HOW OCCUPATIONAL THERAPY, PHYSICAL THERAPY AND SPEECH-LANGUAGE PATHOLOGY PROFESSIONALS USE EVIDENCE-BASED PRACTICE AND CLINICAL REASONING IN THE PURPOSEFUL MANIPULATION OF EQUINE MOVEMENT TO ENGAGE SENSORY, NEUROMOTOR AND COGNITIVE SYSTEMS TO ACHIEVE FUNCTIONAL OUTCOMES. IN CONJUNCTION WITH THE AFFORDANCES OF THE EQUINE ENVIRONMENT AND OTHER TREATMENT STRATEGIES, HIPPOTHERAPY IS PART OF A PATIENT'S INTEGRATED PLAN OF CARE. EACH THERAPIST CREATES A SPECIALIZED TREATMENT PLAN FOR EACH INDIVIDUAL DEPENDING ON THEIR DISABILITY, BODY TYPE, AND THEIR PERSONAL/THERAPEUTIC GOALS. THERAPY GOALS AND OBJECTIVES ARE MONITORED AND DOCUMENTED THOROUGHLY. (SEE SCHEDULE O)THERAPY: OCCUPATIONAL, PHYSICAL, SPEECH/LANGUAGE (CONTINUED): SPECIALLY TRAINED VOLUNTEERS ARE USED AS THE DIRECT LINK ALONG WITH THE LICENSED PHYSICAL, OCCUPATIONAL, OR SPEECH THERAPIST'S GUIDANCE TO THE INDIVIDUAL. HIPPOTHERAPY SERVED 84 INDIVIDUALS. PROVIDE EQUINE ASSISTED THERAPY PROGRAMS FOR INDIVIDUALS WITH DISABILITIES"
