,Unnamed: 0,keywords,code
0,0,Alternative Education,B2
1,1,Boarding Schools,B2
2,2,Child Development Education Issues,B2
3,3,Community-Based Schools,B2
4,4,Community Learning Centers,B2
5,5,Extended-Service Schools,B2
6,6,Full-Service Schools,B2
7,7,Home-Based Education,B2
8,8,Home Education,B2
9,9,Home Schooling,B2
10,10,Montessori Schools,B2
11,11,Nontraditional Schools,B2
12,12,Separately Organized Middle Schools,B2
13,13,Yeshivas,B2
14,14,Early Childhood Education,B2
15,15,Head Start,B2
16,16,Kindergartens,B2
17,17,Nursery Schools,B2
18,18,Preschool Education,B2
19,19,Preschools,B2
20,20,School Readiness Programs,B2
21,21,Elementary Schools,B2
22,22,Grades 1-4,B2
23,23,Grades 1-6,B2
24,24,Grades 1-8,B2
25,25,K-4,B2
26,26,K-6,B2
27,27,K-8,B2
28,28,Primary Schools,B2
29,29,College Preparatory Schools,B2
30,30,Grades 7-12,B2
31,31,Grades 8-12,B2
32,32,Grades 9-12,B2
33,33,Grades 10-12,B2
34,34,High Schools,B2
35,35,Junior High Schools,B2
36,36,Intermediate Schools,B2
37,37,Pre-Collegiate Education,B2
38,38,Secondary Schools,B2
39,39,Senior High Schools,B2
40,40,Bilingual Education,B2
41,41,Blind Children,B2
42,42,Children with Hearing Disabilities,B2
43,43,Children with Learning Disabilities,B2
44,44,Deaf Children,B2
45,45,Developmentally Disabled Children,B2
46,46,Gifted and Talented Schools,B2
47,47,Gifted Children,B2
48,48,Gifted Schools,B2
49,49,Mentally Retarded Children,B2
50,50,Special Education Institutions,B2
51,51,Special Schools,B2
52,52,TAG Schools,B2
53,53,Talented and Gifted Schools,B2
54,54,Visually Impaired Children,B2
55,55,Charter Schools,B2
56,56,Auto Mechanics,B3
57,57,Building Trades,B3
58,58,Cosmetology,B3
59,59,High School Vocational Education,B3
60,60,Industrial,B3
61,61,Manufacturing,B3
62,62,Post-Secondary Technical Schools,B3
63,63,Technical Schools,B3
64,64,Trade Schools,B3
65,65,Vocational Centers,B3
66,66,Vocational Schools,B3
67,67,Vocational/Technical Schools,B3
68,68,Vocational/Trade High Schools,B3
69,69,Institutions of Higher Learning,B4
70,70,Year Colleges,B4
71,71,Associates in Arts Certificates,B4
72,72,Community Colleges,B4
73,73,Junior Colleges,B4
74,74,Two-Year Colleges,B4
75,75,Year Colleges,B4
76,76,Baccalaureate Degrees,B4
77,77,Bachelor Degrees,B4
78,78,Bachelor of Arts Degrees,B4
79,79,Bachelor of Science Degrees,B4
80,80,Black Colleges,B4
81,81,Deaf Colleges,B4
82,82,Four-Year Colleges,B4
83,83,Liberal Arts Colleges,B4
84,84,Undergraduate Colleges,B4
85,85,Doctorates,B4
86,86,Graduate Schools,B4
87,87,Masters Degrees,B4
88,88,Technological Institutes,B4
89,89,Universities,B4
90,90,Accounting Schools,B5
91,91,Advertising Schools,B5
92,92,Agriculture Schools,B5
93,93,Architectural Schools,B5
94,94,Business Administration Schools,B5
95,95,Business Schools,B5
96,96,Chiropractic Teaching Facilities,B5
97,97,Dental Schools,B5
98,98,Divinity Schools,B5
99,99,Engineering Schools,B5
100,100,Fine Arts Schools,B5
101,101,Health Sciences Schools,B5
102,102,Hotel Administration Schools,B5
103,103,Information Science Schools,B5
104,104,Journalism Schools,B5
105,105,Law Schools,B5
106,106,Legal Education,B5
107,107,Library and Information Science Schools,B5
108,108,Library Schools,B5
109,109,Management Schools,B5
110,110,Marketing Schools,B5
111,111,Medical Schools,B5
112,112,Nursing Schools,B5
113,113,Professional Schools,B5
114,114,Public Administration Schools,B5
115,115,Public Health Administration Schools,B5
116,116,Public Health Schools,B5
117,117,Schools of Education,B5
118,118,Schools of Teaching,B5
119,119,Seminaries / Seminary Schools,B5
120,120,Social Work Schools,B5
121,121,Teacher Education,B5
122,122,Theological Schools,B5
123,123,Theology Schools,B5
124,124,Veterinary Medicine Schools,B5
125,125,Veterinary Schools,B5
126,126,Yeshiva,B5
127,127,Adult Basic Education,B6
128,128,Adult Education,B6
129,129,Adult High School Diplomas,B6
130,130,Adult Literacy Councils,B6
131,131,Adult Literacy Education,B6
132,132,Basic Writing Skills,B6
133,133,Basic Reading Skills,B6
134,134,Compensatory Learning,B6
135,135,Continuing Education,B6
136,136,Elderhostels,B6
137,137,English as a Second Language,B6
138,138,ESL Instruction,B6
139,139,Fundamental Education (Adults),B6
140,140,GED Instruction,B6
