CODE,COUNT
X20,1286
X21,714
P20,647
B82,424
D20,366
O50,351
T20,343
S41,339
S20,305
T22,263
A80,259
T30,248
Y50,240
B90,238
B94,228
N50,219
N60,218
B11,211
X99,204
W30,181
B99,179
P99,172
E70,156
A20,145
N63,137
X99Z,136
P80,129
X20Z,125
Q33,119
M24,112
Z99,109
P60,108
P30,107
W99,104
B20,101
B12,101
P40,98
B112,94
A23,93
S30,88
N65,86
A65,85
N70,85
K31,85
L20,84
S80,84
T12,83
J40,82
A68,82
B80,75
T50,73
B60,70
K30,70
P12,68
W12,66
A50,66
N99,65
N64,64
A25,62
L21,61
B82Z,59
B03,59
N5XC,56
M20,56
P33,56
T70,55
A54,54
T20Z,54
P81,53
S22,52
T99,52
A60,52
F20,52
Y40,51
B83,51
L22,51
O20,50
N32,49
S99,48
C30,48
S40,48
P50,48
T31,48
S47,47
B84,47
G30,47
E60,46
F60,46
A99,45
X21Z,45
P58,45
O99,44
N20,44
N67,43
P81Z,43
B01,43
D200,43
N62,42
N12,42
A62,41
N11,40
A6B,39
Z99Z,39
K20,39
D99,39
G12,38
B70,38
Q30,38
N52,37
X11,37
A6C,37
T90,37
Y42,37
S31,36
N31,36
A82Z,35
E86,34
T21,34
E220,34
S21,34
P20Z,33
N68,33
P82,33
T70Z,33
X22,32
J20,32
X40,32
L40,32
M40,31
E99,31
X90,30
A40,30
E12,30
B24,30
P29,30
C42,30
P46,29
L41,29
O12,29
X200,29
B92,29
T11,29
P85,28
B99Z,28
D60,28
I40,27
D30,27
A70,27
A11,27
C32,27
X30,27
B29,26
P33Z,26
L80,26
P28,26
A650,26
A12,26
E30,25
E11,25
Y43,25
J33Z,25
X50,24
E50,24
L50,24
M12,24
L25,24
B21,24
P01,24
P62,24
P32,24
E32,24
G84,23
L20Z,23
I20,23
F22,23
B94Z,23
I80,23
P750,23
P80Z,23
X80,23
S12,22
L99,22
F01,21
A84,21
P11,21
M99,21
P200,21
N30,21
T99Z,21
P73,21
M24Z,20
B30,20
C60,20
H12,20
N6A,20
P19,20
I21,20
A26,20
X03,19
P84,19
L22Z,19
N61,19
X12,19
E91Z,19
F21,19
K99,19
O51,19
I60,18
C50,18
B83Z,18
S11,18
Y99,18
X83,18
B28,18
A31,18
C99,18
S41Z,18
E22,18
L80Z,18
F30,17
N69,17
B25,17
T23,17
Y03,17
B117,17
W24,17
X01,17
R01,17
B19,16
P82Z,16
I70,16
E112,16
M23,16
G80,16
J22,16
O41,16
S200,16
T30Z,15
P43,15
G20,15
S32,15
N60Z,15
A69,15
A230,15
Y11,15
J330,15
R26,14
R99,14
T22Z,14
R20,14
P70,14
O30,14
F80,14
W70,14
P51,14
K40,14
Q32,14
W01,14
O55,14
W11,13
P75Z,13
D61,13
S43,13
E01,13
M11,13
S80Z,13
T90Z,13
Q330,13
A99Z,13
P75,13
E21,13
B21Z,13
E20,13
P99Z,13
S20Z,13
E910,12
S46,12
X202,12
E19,12
S31Z,12
A540,12
J99,12
E40,12
A50Z,12
P600,12
P31,12
J03,12
A20Z,12
F12,12
S81,12
A90,12
A61,11
E62,11
E03,11
E91,11
Y22,11
A6BZ,11
N64Z,11
E110,11
A500,11
N40,11
I43,11
N63Z,11
F33,11
X84,11
B420,11
B84Z,11
P28Z,11
E02,11
A33Z,11
S03,10
D01,10
M19,10
B122,10
B20Z,10
S01,10
M112,10
O52,10
R30,10
I72,10
A51,10
W20,10
A65Z,10
W30Z,10
B02,10
P86,10
J21,9
B990,9
N66,9
L11,9
C34,9
P730,9
P45,9
F22Z,9
P42,9
A33,9
P270,9
F40,9
B430,9
H30,9
E210,9
D12,9
L81,9
B50,9
N520,9
E400,9
B25I,9
U41,9
X192,9
C20,9
A60Z,8
G50,8
C27,8
O52Z,8
F50,8
S21Z,8
P820,8
A82,8
P430,8
A34,8
G81,8
B192,8
T20J,8
F99,8
B28Z,8
C35,8
A26Z,8
D03,8
X19,8
S50,8
E22I,8
H80,8
X22Z,8
O99Z,8
A116,8
K36Z,8
B80Z,8
B114,8
P73Z,8
B200,8
A200,8
E42,7
L12,7
A6CZ,7
L210,7
T700,7
P70Z,7
W03,7
B24Z,7
C01,7
O01,7
W40,7
P60Z,7
X112,7
I01,7
E22Z,7
Y40Z,7
E92Z,7
O11,7
H05,7
A32,7
S82Z,7
Q300,7
W80,7
R40,7
I31,7
S50Z,7
A800,7
I99,7
N20Z,7
A63,7
Q200,7
B110,7
O40,7
A400,7
N03,7
O20Z,7
G43,7
G123,6
W22,6
C30Z,6
R62,6
A600,6
B82B,6
A56,6
E20Z,6
Y20,6
A80Z,6
T99I,6
S30Z,6
A68Z,6
P52,6
N52Z,6
Q12,6
A52,6
Y12,6
P27Z,6
A30,6
N31Z,6
R60,6
O53,6
L220,6
J40Z,6
I73,6
I12,6
O23,6
J33,6
B94I,6
B42,6
A01,6
E80,6
B71I,6
A03,6
U03,5
E99Z,5
P72,5
E200,5
N19,5
D40,5
P27,5
G11,5
K35,5
S99Z,5
E86Z,5
I21Z,5
C11,5
B05,5
F20Z,5
Q20,5
S810,5
B42Z,5
U99,5
E65,5
