,EIN,URL,PHONE,HOURS
0,000360268,https://hopechurch.net/,4178825888,"{'hours': {'monday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'tuesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'wednesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'thursday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'friday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '24:00'}}}"
1,010415961,http://www.veteransforpeace.org/,3147256005,"{'hours': {'monday': {'opens_at': '10:00', 'closes_at': '17:00'}, 'tuesday': {'opens_at': '10:00', 'closes_at': '17:00'}, 'wednesday': {'opens_at': '10:00', 'closes_at': '17:00'}, 'thursday': {'opens_at': '10:00', 'closes_at': '17:00'}, 'friday': {'opens_at': '10:00', 'closes_at': '17:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
2,010548351,https://www.hbfcass.org/,8163803033,
3,010565782,,,
4,010575589,,,
5,010582036,http://www.fgsstlbc.org/,3142098882,"{'hours': {'monday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'tuesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'wednesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'thursday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'friday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '24:00'}}}"
6,010584486,http://www.stlsdp.org/contact-us,6366717223,
7,010586306,http://www.barceda.org/contact-us.html,4176372345,
8,010605038,http://www.habitat.org/,4178460110,"{'hours': {'tuesday': {'opens_at': '09:00', 'closes_at': '17:00'}, 'wednesday': {'opens_at': '09:00', 'closes_at': '17:00'}, 'thursday': {'opens_at': '09:00', 'closes_at': '17:00'}, 'friday': {'opens_at': '09:00', 'closes_at': '17:00'}, 'saturday': {'opens_at': '09:00', 'closes_at': '12:00'}, 'monday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
9,010605273,http://www.unityworldwideministries.org/,8165247414,
10,010618842,,4178696110,"{'hours': {'tuesday': {'opens_at': '08:00', 'closes_at': '15:00'}, 'wednesday': {'opens_at': '08:00', 'closes_at': '15:00'}, 'thursday': {'opens_at': '08:00', 'closes_at': '15:00'}, 'friday': {'opens_at': '08:00', 'closes_at': '15:00'}, 'monday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
11,010624838,,,
12,010625543,http://mountainviewmo.com/index.php/stay/community-services/,4179345437,"{'hours': {'monday': {'opens_at': '15:30', 'closes_at': '18:00'}, 'tuesday': {'opens_at': '15:30', 'closes_at': '18:00'}, 'wednesday': {'opens_at': '15:30', 'closes_at': '21:00'}, 'thursday': {'opens_at': '15:30', 'closes_at': '18:00'}, 'friday': {'opens_at': '15:30', 'closes_at': '22:00'}, 'saturday': {'opens_at': '18:00', 'closes_at': '22:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
13,010643653,http://www.strayrescue.org/,3147716121,"{'hours': {'monday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'tuesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'wednesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'thursday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'friday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '24:00'}}}"
14,010643912,,,
15,010657366,,,
16,010670203,https://www.metrocwc.org/,3147728444,
17,010684355,https://www.stlouis-mo.gov/,3142895300,
18,010750030,,3147258116,
19,010752303,,,
20,010756138,http://www.fiveacresanimalshelter.org/,6369499918,"{'hours': {'monday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'tuesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'wednesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'thursday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'friday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '24:00'}}}"
21,010757598,,5737781603,
22,010760435,https://www.ihg.com/holidayinnexpress/hotels/us/en/kingdom-city/coukc/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-COUKC,5733106020,"{'hours': {'monday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'tuesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'wednesday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'thursday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'friday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '24:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '24:00'}}}"
23,010765869,,3143818985,
24,010776235,http://morgancountylibrary.org/,5733785319,"{'hours': {'monday': {'opens_at': '09:00', 'closes_at': '17:30'}, 'tuesday': {'opens_at': '09:00', 'closes_at': '17:30'}, 'wednesday': {'opens_at': '09:00', 'closes_at': '17:30'}, 'thursday': {'opens_at': '09:00', 'closes_at': '17:30'}, 'friday': {'opens_at': '09:00', 'closes_at': '17:30'}, 'saturday': {'opens_at': '09:00', 'closes_at': '13:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
25,010777850,http://heroescare.org/,6366000096,"{'hours': {'monday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'tuesday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'wednesday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'thursday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'friday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
26,010785617,,,
27,010795152,http://www.cfna-stl.org,3145178513,
28,010829991,,5732623464,
29,010839874,http://www.ngns.org/,3144491821,
30,010846423,,,
31,010847852,,,
32,010855170,http://www.stalphonsusrock.org/,3145330304,
33,010855812,,,
34,010868398,http://www.arkofsafety.cc/,6369463200,
35,010886790,,,
36,010896517,,,
37,010899869,https://www.neoshosd.org/Domain/8,4174518610,
38,010905967,,,
39,010906127,,,
40,010911918,http://www.mnea.org/,5736343202,"{'hours': {'monday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'tuesday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'wednesday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'thursday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'friday': {'opens_at': '08:00', 'closes_at': '17:00'}, 'saturday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
41,010918377,http://www.highcallingministries.com/contact,3145224941,
42,010919406,,,
43,010926268,http://nlspringfield.com/,4178815558,
44,010933426,,4178824438,"{'hours': {'monday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'tuesday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'wednesday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'thursday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'friday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'saturday': {'opens_at': '10:00', 'closes_at': '17:30'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
45,010935052,,,
46,010941908,,,
47,010949075,,,
48,010951147,http://bdc-kc.org/,8167332240,
49,010955267,,,
50,010961284,,3148922680,
51,010961821,http://www.graceumc-stl.org/,3148631992,
52,010964413,https://avantministries.org/,8004681892,"{'hours': {'monday': {'opens_at': '08:30', 'closes_at': '16:30'}, 'tuesday': {'opens_at': '08:30', 'closes_at': '16:30'}, 'wednesday': {'opens_at': '08:30', 'closes_at': '16:30'}, 'thursday': {'opens_at': '08:30', 'closes_at': '16:30'}, 'friday': {'opens_at': '08:30', 'closes_at': '16:30'}, 'saturday': {'opens_at': '00:00', 'closes_at': '00:00'}, 'sunday': {'opens_at': '00:00', 'closes_at': '00:00'}}}"
53,013312879,http://www.ggcstl.org/,3148671233,
54,015145247,,5736765959,
